ETX   40-34-51.542N 075-41-02.284W
EUF   31-57-00.872N 085-07-49.954W
EUG   44-07-15.200N 123-13-22.200W
EVM   47-25-27.742N 092-30-06.666W
EVW   41-16-29.803N 111-01-33.163W
EWA   32-22-00.509N 088-27-30.126W
EWC   40-49-30.732N 080-12-41.620W
EWM   31-57-06.276N 106-16-20.637W
EWN   35-04-23.273N 077-02-42.212W
EWO   37-37-54.521N 085-40-33.159W
EWR   40-41-54.367N 074-10-07.118W
EYW   24-35-09.162N 081-48-01.715W
EZF   38-15-58.963N 077-27-02.943W
FAH   43-46-07.580N 087-50-55.522W
FAI   64-48-00.227N 148-00-43.118W
FAK   37-31-42.634N 077-49-41.589W
FAM   37-40-24.389N 090-14-02.527W
FAR   46-45-12.174N 096-51-04.804W
FAY   34-59-07.975N 078-52-30.230W
FBR   41-22-42.419N 110-25-26.677W
FCA   48-12-50.769N 114-10-33.207W
FCM   44-49-32.568N 093-27-24.326W
FCS   38-40-50.387N 104-45-24.904W
FDK   39-24-44.019N 077-22-30.489W
FDY   40-57-19.191N 083-45-21.666W
FFM   46-17-21.354N 096-09-24.118W
FFO   39-49-05.512N 084-03-16.418W
FFT   38-10-56.550N 084-54-31.143W
FFU   40-16-29.621N 111-56-25.913W
FGT   44-37-51.374N 093-10-55.483W
FHU   31-35-25.817N 110-20-34.009W
FIM   34-21-24.097N 118-52-52.648W
FIS   24-32-54.030N 081-47-10.995W
FJC   40-43-36.100N 075-27-17.100W
FJS   41-26-58.809N 122-48-23.211W
FKL   41-26-19.000N 079-51-24.400W
FKN   36-42-51.240N 077-00-44.265W
FLG   35-08-49.912N 111-40-26.986W
FLL   26-04-29.055N 080-09-08.900W
FLM   38-38-58.156N 084-18-38.269W
FLO   34-13-58.561N 079-39-25.611W
FLP   36-17-58.740N 092-27-30.180W
FLW   35-05-35.104N 119-51-56.083W
FMG   39-31-52.582N 119-39-21.866W
FML   34-59-20.644N 080-57-17.406W
FMN   36-44-54.214N 108-05-56.037W
FNC   09-21-40.000N 079-51-57.000W
FNT   42-58-00.360N 083-44-49.170W
FOD   42-36-40.200N 094-17-41.400W
FOE   38-57-06.000N 095-40-01.000W
FOF   14-35-16.000N 061-00-17.000W
FOT   40-40-16.559N 124-14-04.310W
FOW   44-12-15.953N 093-22-13.819W
FQF   39-41-24.500N 104-37-15.500W
FQM   41-20-18.800N 076-46-29.500W
FRA   37-06-15.915N 119-35-43.604W
FRI   38-58-12.822N 096-51-39.663W
FRM   43-38-45.500N 094-25-21.200W
FSD   43-38-58.309N 096-46-52.186W
FSM   35-23-18.023N 094-16-17.257W
FST   30-57-07.581N 102-58-32.570W
FTK   37-54-26.652N 085-58-22.369W
FTW   32-49-03.462N 097-21-30.063W
FTZ   38-41-40.183N 090-58-16.504W
FUZ   32-53-22.020N 097-10-45.931W
FWA   40-58-44.671N 085-11-16.995W
FXU   31-06-41.872N 093-13-04.486W
FYL   30-50-30.676N 085-36-29.752W
FYU   66-34-27.363N 145-16-36.005W
FZT   32-04-28.575N 095-31-50.846W
GAD   33-58-35.051N 086-05-00.805W
GAG   36-20-37.437N 099-52-48.439W
GAL   64-44-17.358N 156-46-37.725W
GBG   40-56-14.436N 090-26-04.069W
GBN   32-57-22.530N 112-40-27.378W
GCC   44-20-51.933N 105-32-36.605W
GCK   37-55-08.642N 100-43-30.303W
GCN   35-57-37.244N 112-08-45.809W
GCV   31-05-52.655N 088-29-10.064W
GDM   42-32-45.418N 072-03-29.483W
GEE   42-50-03.827N 077-43-57.903W
GEF   30-33-04.830N 083-46-59.278W
GEG   47-33-53.800N 117-37-36.800W
GEP   45-08-44.500N 093-22-23.500W
GFK   47-57-17.402N 097-11-07.333W
GFL   43-20-30.100N 073-36-42.356W
GFS   35-07-52.123N 115-10-35.185W
GGG   32-25-03.843N 094-45-11.262W
GGT   42-47-20.241N 075-49-36.290W
GGW   48-12-54.971N 106-37-31.662W
GHM   35-50-02.439N 087-27-06.451W
GIJ   41-46-06.969N 086-19-06.238W
GKN   62-09-08.625N 145-27-00.955W
GL    39-17-37.805N 101-36-01.006W
GLE   33-43-07.280N 097-11-55.200W
GLD   39-23-16.300N 101-41-32.300W
GLH   33-31-24.711N 090-58-58.575W
GLJ   34-57-08.505N 120-31-17.307W
GLL   40-30-13.930N 104-33-10.847W
GLR   45-00-44.900N 084-42-15.400W
GMN   34-48-14.503N 118-51-40.897W
GNL   31-34-53.320N 096-32-56.700W
GNP   35-55-15.251N 095-58-07.176W
GNV   29-41-31.613N 082-16-22.709W
GOJ   35-57-03.700N 089-56-27.900W
GON   41-19-30.000N 072-03-02.000W
GPT   30-24-24.597N 089-04-36.405W
GPQ   33-33-56.797N 085-07-51.204W
GPZ   47-09-49.002N 093-29-18.777W
GQE   35-20-49.307N 090-28-41.372W
GQO   34-57-40.572N 085-09-12.127W
GRB   44-33-18.567N 088-11-41.471W
GRD   34-15-05.638N 082-09-14.936W
GRI   40-59-02.500N 098-18-53.200W
GRK   31-01-58.336N 097-48-49.569W
GRR   42-47-12.191N 085-29-49.438W
GRV   39-38-06.112N 079-03-01.900W
GSH   41-31-30.674N 086-01-40.700W
GSO   36-02-44.499N 079-58-34.959W
GTF   47-26-59.928N 111-24-43.793W
GTH   33-46-41.798N 100-20-10.307W
GTK   21-26-25.000N 071-08-05.000W
GUP   35-28-33.597N 108-52-21.402W
GUS   40-38-41.592N 086-09-06.176W
GUY   36-42-19.294N 101-30-18.273W
GVE   38-00-48.802N 078-09-10.608W
GVO   34-31-52.709N 120-05-27.901W
GXU   40-00-34.409N 074-35-46.561W
GZG   36-49-30.384N 082-04-44.325W
HAB   34-11-42.362N 088-00-45.123W
HAR   40-18-08.063N 077-04-10.412W
HBR   34-51-59.722N 099-03-48.177W
HBU   38-27-07.751N 107-02-23.252W
HCH   35-46-51.647N 084-58-42.428W
HCM   37-26-55.220N 076-42-40.949W
HCT   40-27-14.659N 100-55-24.846W
HDF   33-46-35.070N 117-11-07.122W
HEC   34-47-49.303N 116-27-46.505W
HEY   31-22-26.914N 085-39-10.070W
HEZ   31-37-05.496N 091-17-58.702W
HFD   41-38-27.800N 072-32-51.500W
HGO   38-48-53.981N 103-37-33.806W
HGR   39-41-51.823N 077-51-20.557W
HIA   45-51-42.465N 112-10-10.551W
HIB   47-18-05.462N 092-42-14.680W
HIC   43-34-29.473N 085-42-58.183W
HIO   45-32-26.000N 122-56-55.000W
HKY   35-44-26.000N 081-23-28.000W
HLC   39-15-31.488N 100-13-33.061W
HLE   43-19-44.660N 114-14-33.153W
HLG   40-15-35.653N 080-34-06.959W
HLI   34-46-12.948N 089-29-47.386W
HLN   46-36-24.600N 111-57-12.500W
HLV   39-06-48.747N 092-07-41.642W
HML   48-52-09.047N 097-07-01.525W
HMO   29-05-48.000N 111-02-56.000W
HMU   30-31-09.900N 090-25-03.000W
HMV   36-26-13.396N 082-07-46.462W
HNB   38-15-01.193N 086-57-22.986W
HNK   42-03-47.005N 075-18-58.624W
HNL   21-18-29.913N 157-55-49.521W
HNN   38-45-14.909N 082-01-34.144W
HNS   59-12-43.526N 135-25-51.083W
HNW   38-43-28.900N 120-44-57.600W
HOB   32-38-17.635N 103-16-09.532W
HOM   59-42-33.945N 151-27-23.756W
HON   44-26-24.300N 098-18-39.891W
HOT   34-28-42.922N 093-05-26.150W
HOU   29-38-42.531N 095-16-43.269W
HPB   61-30-52.379N 166-08-04.253W
HPW   37-19-43.932N 077-06-57.397W
HQM   46-56-49.346N 124-08-57.368W
HQU   33-31-38.660N 082-30-56.300W
HRK   42-45-43.000N 087-48-52.000W
HRL   26-17-28.314N 097-47-35.780W
HRO   36-19-05.915N 093-12-47.797W
HRS   34-56-34.815N 083-54-56.452W
HRV   29-51-00.701N 090-00-10.743W
HSI   40-36-16.348N 098-25-46.621W
HSL   65-42-21.901N 156-22-14.360W
HSV   34-58-55.307N 086-46-21.001W
HTL   44-21-31.963N 084-39-56.587W
HTO   40-55-08.400N 072-19-00.100W
HUB   29-39-20.247N 095-16-35.940W
HUH   48-56-43.029N 122-34-45.320W
HUL   46-02-22.176N 067-50-02.941W
HUO   41-24-34.837N 074-35-29.779W
HUP   31-34-07.326N 105-22-34.747W
HUT   37-59-48.842N 097-56-02.888W
HUW   36-52-16.973N 091-53-59.984W
