K44N  41-42-26.743N 073-44-16.904W
K44U  39-01-44.862N 111-50-17.730W
K45J  34-53-27.855N 079-45-32.609W
K45K  39-05-41.002N 097-43-14.132W
K45R  30-20-10.817N 094-15-27.157W
K46A  34-51-18.314N 083-59-48.678W
K46D  47-27-04.000N 099-09-04.000W
K46U  43-11-04.717N 111-02-32.764W
K47A  34-18-38.100N 084-25-26.100W
K47J  34-42-45.300N 079-57-28.600W
K47K  38-12-25.033N 097-30-11.141W
K47N  40-31-27.783N 074-35-54.211W
K47V  40-38-15.028N 100-28-16.514W
K48A  32-23-57.700N 083-16-33.300W
K48I  38-41-13.360N 080-39-06.339W
K48K  38-28-15.970N 099-54-29.040W
K48S  48-33-59.993N 108-46-22.562W
K48V  40-00-36.810N 105-02-52.710W
K48Y  48-59-58.600N 095-58-57.300W
K49A  34-37-40.311N 084-31-29.744W
K49I  39-05-29.334N 080-28-10.329W
K49R  29-44-43.804N 099-45-39.213W
K49Y  43-40-36.336N 092-10-47.044W
K4A0  33-32-08.403N 084-10-44.705W
K4A4  34-01-07.300N 085-08-47.300W
K4A5  35-53-56.172N 092-39-21.190W
K4A6  34-41-20.302N 086-00-20.925W
K4A7  33-23-20.800N 084-19-56.500W
K4A9  34-28-25.310N 085-43-17.050W
K4B6  43-52-37.210N 073-24-47.435W
K4B7  43-51-45.219N 073-44-33.467W
K4B8  41-41-25.356N 072-51-53.361W
K4C8  40-59-40.033N 092-45-46.699W
K4D0  42-46-27.126N 084-43-59.153W
K4F2  32-10-33.900N 094-17-55.700W
K4F4  32-41-56.400N 094-56-55.900W
K4F7  33-48-13.397N 093-21-47.618W
K4F8  33-26-25.433N 093-03-20.596W
K4G4  40-57-42.463N 080-40-38.375W
K4G5  39-46-44.561N 081-06-09.980W
K4G6  42-22-55.720N 077-40-55.605W
K4I0  37-41-15.365N 082-15-39.503W
K4I3  40-19-43.400N 082-31-25.600W
K4I7  39-38-00.944N 086-48-49.797W
K4I9  40-31-28.300N 082-51-00.200W
K4J1  31-12-45.807N 081-54-19.407W
K4J2  31-12-45.200N 083-13-34.600W
K4J5  30-48-20.705N 083-35-11.576W
K4J6  30-45-16.849N 081-33-26.349W
K4J8  32-23-15.625N 082-33-49.476W
K4K3  39-12-35.200N 093-55-40.800W
K4K6  40-43-55.580N 092-25-41.768W
K4M1  36-23-00.252N 093-37-00.684W
K4M2  35-08-55.331N 093-51-55.721W
K4M3  34-48-29.628N 091-42-43.383W
K4M4  35-35-52.279N 092-27-06.569W
K4M7  36-47-59.700N 086-48-36.600W
K4M9  36-24-15.233N 090-38-52.535W
K4N1  41-07-42.773N 074-20-45.046W
K4R1  31-00-55.657N 089-28-57.236W
K4R3  31-28-19.591N 087-53-40.995W
K4R4  30-27-43.605N 087-52-40.871W
K4R7  30-27-58.622N 092-25-25.677W
K4R9  30-15-37.731N 088-07-38.999W
K4S1  42-24-48.400N 124-25-27.387W
K4S2  45-40-21.426N 121-32-11.265W
K4S3  45-21-25.545N 117-15-11.608W
K4S9  45-12-58.767N 122-35-24.302W
K4SD  39-40-02.572N 119-52-31.501W
K4T6  32-27-21.950N 096-54-44.675W
K4U3  48-30-38.600N 110-59-27.110W
K4U6  47-25-07.031N 105-33-42.995W
